,REINCIDENCIA_VIOLENTA,V373_REIN_JUDICIAL_2021,V374_REIN_JUDICIAL_19,V376_REIN_PENITENCIARIA
V4_TIPUSSORTIDA_2,-0.09745953184678562,0.008339789627727277,0.013970910754296881,0.016834211103699013
V5_SORTIDA_ESGLAONADA,-0.09448176407599888,-0.27741112219294844,-0.29175386515816876,-0.2737370235878048
V6_PROBLEMATICA_DROGUES,0.057518076098280684,0.07764929364384154,0.07498019651197635,0.055905772288125426
V7_PROBLEMÀTICA_SALUTMENTAL_DROGUES,0.038326849161271236,-0.016048168474773396,-0.006863327527468322,-0.011063423785415295
V8_SEGREGACIÓ_REGIMTANCAT,0.1448154068261314,0.1096893198384402,0.12618474817777048,0.13021328832476603
V9_REINGRES_ANTERIOR,-0.10831750794279,-0.24841860543832545,-0.26448872983482014,-0.44916874539518886
V11_CLAS_86_4,-0.0641611107244049,-0.16248673292778218,-0.16178450949725892,-0.12919883835588147
V12_CLAS_UD,-0.024787281300091536,-0.07960077773702177,-0.07679595073498524,-0.05546537273787527
V13_TIPUSLC,0.10133544025208938,0.2025668448203072,0.22129365355740307,0.23940032154481608
V14_ACCES_LC,-0.10572548950093297,-0.22059359732811698,-0.23716625670275016,-0.24715862299837615
V18_SEXE,-0.02795632018272545,-0.002301374146671423,-0.004674288818929638,-0.008558886914399702
V19_ESTRANGERS,-0.057977108561214796,-0.043416727233532085,-0.03359609921210043,0.02145192891706568
V20_AREAGEOG,-0.035305711748137646,-0.044900061739709264,-0.0423379295258,-0.0013687619572405774
V21_RESIDENCIA,-0.0051693836512443185,-0.08481398564831885,-0.07423520339949986,-0.02873377377991862
V22_ESTUDIS,-0.01559838891019713,-0.07846559671551537,-0.0844818719251185,-0.07695899847241734
V23_CATALA,0.01577975984880322,-0.018467405985771436,-0.03479227461660701,-0.0829618314195176
V24_CASTELLA,0.02915615933312738,-0.044972202383793666,-0.05251278364009143,-0.06240422538501592
V25_FILLS_AGRUPADA,-0.00885678059876097,-0.010159849531455042,-0.007617318125976985,-0.03325952934121094
V26_EXPULSIO,0.05324307934060337,0.038066952218845526,0.027316731358629828,-0.03159044115582963
V27_EDAT_PB_AGRUPADA,-0.09854897936747635,-0.20592065048902353,-0.21210496303372475,-0.13755021893116615
V28_EDAT_SORTIDAPB_AGRUPADA,-0.06752716586035264,-0.22251624620541596,-0.22633844534111175,-0.14640656176813174
V29_R3C_F16_DesajustInfantil,-0.014469419016722138,0.17300197734573253,0.19344633464558267,0.20795229678962326
V30_R3C_F18_NivellEducatiu,-0.07748956459524775,0.008577993807808226,0.016615130409905497,0.0480522123208765
V31_R3C_F19_ProblemesOcupacio,-0.013692428472920406,0.16855485810348125,0.18916193733066078,0.20069868453986192
V32_R3C_F20_MancaRecursosEconomics,-0.005247696531052924,0.18321670603032145,0.20285866815191314,0.21481697251782664
V33_R3C_F21_AbsenciaPlansFutur,-0.008081906301510709,0.18497197469138635,0.20423492603325527,0.21406464803939004
V34_R3C_F22_AntecedentsFamilia,-0.010532019981445942,0.17620538719777532,0.19834322751282424,0.21387278088241887
V35_R3C_F23_SocialitzacioProblematica,-0.012655879064540417,0.17644274715773683,0.1956948755075121,0.20620055915224425
V36_R3C_F24_MancaSuportFamiliarSocial,-0.006197221743406277,0.19106045028247004,0.20990777163460136,0.21639472527180856
V37_R3C_F25_PertinençaBandes,-0.007582098648365647,0.18900847700442763,0.20862080618045553,0.217587286911864
V38_R3C_F26_PertinençaGrupRisc,-0.01457246093988574,0.18460550554128807,0.2019557128711171,0.21006275859660853
V39_R3C_F27_RolDelictiuDestacat,-0.002404415143509378,0.19398138880898713,0.21350676378503847,0.22361811098112688
V40_R3C_F28_VictimaVIGE,-0.001890048130009967,0.19605110384584887,0.21583378846572915,0.22636082738496588
V41_R3C_F29_CarreguesFamiliars,-0.0020375823574737576,0.18679546185365484,0.20620758164540545,0.22452363139308598
V42_R3C_F30_ConsumDrogues,-0.012593353747235995,0.18054896160409867,0.2003215424032651,0.20609784888104332
V43_R3C_F31_ConsumAlcohol,-0.008363350646381834,0.1871079320663804,0.2059141792685177,0.21552809937275985
V44_R3C_F32_TranstornMentalSever,-0.003346352104192812,0.19252649668238295,0.21232702384319302,0.22603497010767634
V45_R3C_F33_ComportamentSexualRisc,-0.0026100339385894816,0.19525087830532867,0.21504326357262818,0.22423105462372037
V46_R3C_F34_RespostaLimitadaTractament,-0.004098974378342398,0.17238816200143262,0.19276446577929388,0.2080248639396563
V47_R3C_F35_TranstornPersonalitat,-0.004308965298982618,0.19017534051937307,0.21011092751937077,0.22091129708588422
V48_R3C_F36_PobreAfrontamentEstres,-0.00863228615565171,0.17948631905072593,0.1983642019071222,0.20433944150965216
V49_R3C_F37_IntentsAutolesio,-0.01197176302212099,0.18336609558266476,0.20232466158722306,0.2135038811263947
V50_R3C_F38_ActitudsProcriminals,-0.01339066979557079,0.18274303325998045,0.20115285455433846,0.20501858878314327
V51_R3C_F39_BaixCI,-0.004105297299263405,0.1916260499921574,0.21121659553962158,0.22251311245212896
V52_R3C_F40_Temeritat,-0.010703669190994811,0.18344120779902026,0.20331629563933606,0.21086803339629287
V53_R3C_F41_Impulsivitat,-0.01966701315806429,0.17480107082401675,0.1926607472615579,0.19776111692705534
V54R3C_F42_Hostilitat,-0.002445368845555138,0.18614775074502626,0.2059740511645183,0.21307416914200894
V55_R3C_F43_Irresponsabilitat,-0.015288486361856472,0.17367235427666863,0.1949800121746804,0.2066832807935903
V56_R3C_F19_ProblemesOcupacio_dico,-0.01075470092694964,0.17441433668207132,0.1947467538384583,0.20637448065575664
V57_R3C_F20_MancaRecursosEconomics_dico,-0.005714208002207852,0.18709410456274705,0.20716607761490574,0.21744229566004575
V58_R3C_F21_AbsenciaPlansFutur_dico,-0.007582645008008661,0.18718901112283515,0.20641371531702865,0.21738370028029677
V59_R3C_F24_MancaSuportFamiliarSocial_dico,-0.0039791115381519115,0.1924685643871648,0.21128467618646146,0.21926054723389451
V60_R3C_F30_ConsumDrogues_dico,-0.010374683604790632,0.18035209380570433,0.19995639203095925,0.21061501854083853
V61_R3C_F31_ConsumAlcohol_dico,-0.006611174822871639,0.18687803900179178,0.20572167785776477,0.21822761021172873
V62_R3C_F34_RespostaLimitadaTractament_dico,-0.004046470964623629,0.17691216418908987,0.19722743063792023,0.21301252548589386
V63_R3C_F36_PobreAfrontamentEstres_dico,-0.006943934668443044,0.1813282641749774,0.20048367526791466,0.21091458591998552
V64_R3C_F40_Temeritat_dico,-0.009570047683268803,0.18622030312401897,0.20561632318584946,0.2156222765321095
V65_R3C_F41_Impulsivitat_dico,-0.015023654235878309,0.18186892396123902,0.19993730284076094,0.20584132778144196
V66_R3C_F42_Hostilitat_dico,-0.0018913689172902369,0.18871487676788518,0.20857739256780022,0.21799339971803694
V67_R3C_F43_Irresponsabilitat_dico,-0.013576318572538475,0.1790861082599816,0.19886822603385115,0.21070016628225832
V68_DROGUES_RISCANVI,0.07331170232114466,0.08872019780724187,0.09624717776483523,0.07762198389421571
V69_DELICTEPB,0.030819844052920913,-0.046752799920208796,-0.046292371681941995,-0.05550804105782669
V70_DELICTEPBCAT,-0.06710630227979944,-0.04693145339309875,-0.05295132419911308,-0.06265536750760849
V71_DELICTEPBCAT_NOVA,-0.10532534464706711,-0.017401342761225375,-0.017037699573031414,-0.03957080425240089
V72_DELICTEPBVIOL,-0.08841600296013442,0.03361772836399838,0.03228420305611109,0.02712586078628494
V73_DELICTES_ACUMULATS,-0.09972634094808543,-0.062482644232651076,-0.058144084252957313,-0.06234637438595559
V74_RESPCIVIL,-0.035705926160675666,0.0338731744670638,0.04245116670838523,0.03640969597486361
V75_OPV,-0.05285556625300812,-0.0005725720453140757,-0.0003758146522632222,-0.006233595859765397
V76_R3C_F03_IntoxicacioDelicteBase,-0.00850603387254531,0.18858294711496398,0.20812565362391058,0.21940694499183283
V77_R3C_F04_VictimesLesions,-0.013128679584847721,0.16838728700190791,0.18635239374242243,0.20266659767296194
